ZCTA,CDRegion,MSA,County
30701,Northwest,"Calhoun, GA",Gordon County
30733,Northwest,"Calhoun, GA",Gordon County
30734,Northwest,"Calhoun, GA",Gordon County
30735,Northwest,"Calhoun, GA",Gordon County
30746,Northwest,"Calhoun, GA",Gordon County
39827,South,,Grady County
39828,South,,Grady County
39897,South,,Grady County
30642,Northeast,,Greene County
30665,Northeast,,Greene County
30669,Northeast,,Greene County
30678,Northeast,,Greene County
30017,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30019,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30024,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30039,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30043,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30044,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30045,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30046,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30047,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30071,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30078,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30092,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30093,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30096,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30097,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30518,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30519,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
30523,Northeast,"Cornelia, GA",Habersham County
30531,Northeast,"Cornelia, GA",Habersham County
30535,Northeast,"Cornelia, GA",Habersham County
30563,Northeast,"Cornelia, GA",Habersham County
30501,Northeast,"Gainesville, GA",Hall County
30504,Northeast,"Gainesville, GA",Hall County
30506,Northeast,"Gainesville, GA",Hall County
30507,Northeast,"Gainesville, GA",Hall County
30527,Northeast,"Gainesville, GA",Hall County
30542,Northeast,"Gainesville, GA",Hall County
30543,Northeast,"Gainesville, GA",Hall County
30554,Northeast,"Gainesville, GA",Hall County
30566,Northeast,"Gainesville, GA",Hall County
31045,East,"Milledgeville, GA",Hancock County
31087,East,"Milledgeville, GA",Hancock County
30110,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Haralson County
30113,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Haralson County
30176,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Haralson County
36269,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Haralson County
31804,West,"Columbus, GA-AL",Harris County
31807,West,"Columbus, GA-AL",Harris County
31808,West,"Columbus, GA-AL",Harris County
31811,West,"Columbus, GA-AL",Harris County
31822,West,"Columbus, GA-AL",Harris County
31823,West,"Columbus, GA-AL",Harris County
31826,West,"Columbus, GA-AL",Harris County
31831,West,"Columbus, GA-AL",Harris County
31833,West,"Columbus, GA-AL",Harris County
36854,West,"Columbus, GA-AL",Harris County
36874,West,"Columbus, GA-AL",Harris County
29626,Northeast,,Hart County
29643,Northeast,,Hart County
29684,Northeast,,Hart County
29689,Northeast,,Hart County
30516,Northeast,,Hart County
30520,Northeast,,Hart County
30643,Northeast,,Hart County
30217,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Heard County
36274,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Heard County
36280,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Heard County
30228,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
30248,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
30252,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
30253,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
30281,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
30294,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County
31005,West,"Warner Robins, GA",Houston County
31025,West,"Warner Robins, GA",Houston County
31028,West,"Warner Robins, GA",Houston County
31047,West,"Warner Robins, GA",Houston County
31069,West,"Warner Robins, GA",Houston County
31088,West,"Warner Robins, GA",Houston County
31093,West,"Warner Robins, GA",Houston County
31098,West,"Warner Robins, GA",Houston County
31733,South,,Irwin County
31774,South,,Irwin County
31798,South,,Irwin County
30517,Northeast,"Jefferson, GA",Jackson County
30529,Northeast,"Jefferson, GA",Jackson County
30548,Northeast,"Jefferson, GA",Jackson County
30549,Northeast,"Jefferson, GA",Jackson County
30565,Northeast,"Jefferson, GA",Jackson County
30567,Northeast,"Jefferson, GA",Jackson County
30575,Northeast,"Jefferson, GA",Jackson County
30607,Northeast,"Jefferson, GA",Jackson County
30056,East,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County
31064,East,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County
31085,East,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County
31532,Central,,Jeff Davis County
31539,Central,,Jeff Davis County
30413,East,,Jefferson County
30434,East,,Jefferson County
30477,East,,Jefferson County
30803,East,,Jefferson County
30818,East,,Jefferson County
30823,East,,Jefferson County
30833,East,,Jefferson County
30425,East,,Jenkins County
30442,East,,Jenkins County
30822,East,,Jenkins County
31002,East,"Dublin, GA",Johnson County
31049,East,"Dublin, GA",Johnson County
31096,East,"Dublin, GA",Johnson County
31032,Central,"Macon-Bibb County, GA",Jones County
31033,Central,"Macon-Bibb County, GA",Jones County
31038,Central,"Macon-Bibb County, GA",Jones County
31211,Central,"Macon-Bibb County, GA",Jones County
30204,West,"Atlanta-Sandy Springs-Alpharetta, GA",Lamar County
30257,West,"Atlanta-Sandy Springs-Alpharetta, GA",Lamar County
31635,South,"Valdosta, GA",Lanier County
31649,South,"Valdosta, GA",Lanier County
30454,Central,"Dublin, GA",Laurens County
31009,Central,"Dublin, GA",Laurens County
31019,Central,"Dublin, GA",Laurens County
31021,Central,"Dublin, GA",Laurens County
31022,Central,"Dublin, GA",Laurens County
31027,Central,"Dublin, GA",Laurens County
31065,Central,"Dublin, GA",Laurens County
31075,Central,"Dublin, GA",Laurens County
31743,South,"Albany, GA",Lee County
31763,South,"Albany, GA",Lee County
31787,South,"Albany, GA",Lee County
31301,Coastal,"Hinesville, GA",Liberty County
31309,Coastal,"Hinesville, GA",Liberty County
31313,Coastal,"Hinesville, GA",Liberty County
31314,Coastal,"Hinesville, GA",Liberty County
31315,Coastal,"Hinesville, GA",Liberty County
31320,Coastal,"Hinesville, GA",Liberty County
31323,Coastal,"Hinesville, GA",Liberty County
29835,East,"Augusta-Richmond County, GA-SC",Lincoln County
29838,East,"Augusta-Richmond County, GA-SC",Lincoln County
29844,East,"Augusta-Richmond County, GA-SC",Lincoln County
29845,East,"Augusta-Richmond County, GA-SC",Lincoln County
30817,East,"Augusta-Richmond County, GA-SC",Lincoln County
31316,Coastal,"Hinesville, GA",Long County
31601,South,"Valdosta, GA",Lowndes County
31602,South,"Valdosta, GA",Lowndes County
31605,South,"Valdosta, GA",Lowndes County
31606,South,"Valdosta, GA",Lowndes County
31632,South,"Valdosta, GA",Lowndes County
31641,South,"Valdosta, GA",Lowndes County
31698,South,"Valdosta, GA",Lowndes County
31699,South,"Valdosta, GA",Lowndes County
32350,South,"Valdosta, GA",Lowndes County
30533,Northeast,,Lumpkin County
30564,Northeast,,Lumpkin County
31041,West,,Macon County
31057,West,,Macon County
31063,West,,Macon County
31068,West,,Macon County
31711,West,,Macon County
30628,Northeast,"Athens-Clarke County, GA",Madison County
30629,Northeast,"Athens-Clarke County, GA",Madison County
30633,Northeast,"Athens-Clarke County, GA",Madison County
30646,Northeast,"Athens-Clarke County, GA",Madison County
31801,West,"Columbus, GA-AL",Marion County
31803,West,"Columbus, GA-AL",Marion County
30808,East,"Augusta-Richmond County, GA-SC",McDuffie County
30824,East,"Augusta-Richmond County, GA-SC",McDuffie County
31304,Coastal,"Brunswick, GA",McIntosh County
31305,Coastal,"Brunswick, GA",McIntosh County
31327,Coastal,"Brunswick, GA",McIntosh County
31331,Coastal,"Brunswick, GA",McIntosh County
30218,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
30222,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
30251,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
30293,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
31816,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
31830,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County
39837,South,,Miller County
31716,South,,Mitchell County
31730,South,,Mitchell County
31765,South,,Mitchell County
31779,South,,Mitchell County
31784,South,,Mitchell County
31029,Central,"Macon-Bibb County, GA",Monroe County
31046,Central,"Macon-Bibb County, GA",Monroe County
30410,Central,"Vidalia, GA",Montgomery County
30412,Central,"Vidalia, GA",Montgomery County
30445,Central,"Vidalia, GA",Montgomery County
30621,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Morgan County
30623,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Morgan County
30625,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Morgan County
30650,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Morgan County
30663,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Morgan County
30705,Northwest,"Dalton, GA",Murray County
30708,Northwest,"Dalton, GA",Murray County
30711,Northwest,"Dalton, GA",Murray County
30751,Northwest,"Dalton, GA",Murray County
37362,Northwest,"Dalton, GA",Murray County
31820,West,"Columbus, GA-AL",Muscogee County
31829,West,"Columbus, GA-AL",Muscogee County
31901,West,"Columbus, GA-AL",Muscogee County
31903,West,"Columbus, GA-AL",Muscogee County
31904,West,"Columbus, GA-AL",Muscogee County
31906,West,"Columbus, GA-AL",Muscogee County
31907,West,"Columbus, GA-AL",Muscogee County
31909,West,"Columbus, GA-AL",Muscogee County
36867,West,"Columbus, GA-AL",Muscogee County
36869,West,"Columbus, GA-AL",Muscogee County
36877,West,"Columbus, GA-AL",Muscogee County
30014,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30016,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30054,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30055,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30070,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30164,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County
30622,Northeast,"Athens-Clarke County, GA",Oconee County
30677,Northeast,"Athens-Clarke County, GA",Oconee County
30619,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30627,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30630,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30648,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30667,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30683,Northeast,"Athens-Clarke County, GA",Oglethorpe County
30132,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County
30141,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County
30157,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County
31008,West,"Warner Robins, GA",Peach County
31030,West,"Warner Robins, GA",Peach County
30143,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Pickens County
30148,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Pickens County
30175,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Pickens County
30177,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Pickens County
31516,Coastal,"Waycross, GA",Pierce County
31556,Coastal,"Waycross, GA",Pierce County
31557,Coastal,"Waycross, GA",Pierce County
30206,West,"Atlanta-Sandy Springs-Alpharetta, GA",Pike County
30256,West,"Atlanta-Sandy Springs-Alpharetta, GA",Pike County
30292,West,"Atlanta-Sandy Springs-Alpharetta, GA",Pike County
30295,West,"Atlanta-Sandy Springs-Alpharetta, GA",Pike County
30104,Northwest,"Cedartown, GA",Polk County
30125,Northwest,"Cedartown, GA",Polk County
30153,Northwest,"Cedartown, GA",Polk County
36272,Northwest,"Cedartown, GA",Polk County
31036,Central,"Warner Robins, GA",Pulaski County
31071,Central,"Warner Robins, GA",Pulaski County
31024,East,,Putnam County
36027,South,"Eufaula, AL-GA",Quitman County
39854,South,"Eufaula, AL-GA",Quitman County
39867,South,"Eufaula, AL-GA",Quitman County
28734,Northeast,,Rabun County
28741,Northeast,,Rabun County
28763,Northeast,,Rabun County
28775,Northeast,,Rabun County
28904,Northeast,,Rabun County
29658,Northeast,,Rabun County
29664,Northeast,,Rabun County
30525,Northeast,,Rabun County
30537,Northeast,,Rabun County
30552,Northeast,,Rabun County
30562,Northeast,,Rabun County
30568,Northeast,,Rabun County
30573,Northeast,,Rabun County
30576,Northeast,,Rabun County
30581,Northeast,,Rabun County
39836,South,,Randolph County
39840,South,,Randolph County
39886,South,,Randolph County
29831,East,"Augusta-Richmond County, GA-SC",Richmond County
29841,East,"Augusta-Richmond County, GA-SC",Richmond County
29842,East,"Augusta-Richmond County, GA-SC",Richmond County
30812,East,"Augusta-Richmond County, GA-SC",Richmond County
30815,East,"Augusta-Richmond County, GA-SC",Richmond County
30901,East,"Augusta-Richmond County, GA-SC",Richmond County
30904,East,"Augusta-Richmond County, GA-SC",Richmond County
30905,East,"Augusta-Richmond County, GA-SC",Richmond County
30906,East,"Augusta-Richmond County, GA-SC",Richmond County
30909,East,"Augusta-Richmond County, GA-SC",Richmond County
30912,East,"Augusta-Richmond County, GA-SC",Richmond County
30012,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County
30013,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County
30094,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County
31806,West,"Americus, GA",Schley County
29810,Coastal,,Screven County
29918,Coastal,,Screven County
29932,Coastal,,Screven County
30446,Coastal,,Screven County
30449,Coastal,,Screven County
30455,Coastal,,Screven County
30467,Coastal,,Screven County
32423,South,,Seminole County
32460,South,,Seminole County
39845,South,,Seminole County
39859,South,,Seminole County
30223,West,"Atlanta-Sandy Springs-Alpharetta, GA",Spalding County
30224,West,"Atlanta-Sandy Springs-Alpharetta, GA",Spalding County
30284,West,"Atlanta-Sandy Springs-Alpharetta, GA",Spalding County
29693,Northeast,"Toccoa, GA",Stephens County
30538,Northeast,"Toccoa, GA",Stephens County
30557,Northeast,"Toccoa, GA",Stephens County
30577,Northeast,"Toccoa, GA",Stephens County
31814,West,,Stewart County
31815,West,,Stewart County
31821,West,,Stewart County
31825,West,,Stewart County
36856,West,"Columbus, GA-AL",Stewart County
36871,West,"Columbus, GA-AL",Stewart County
31709,West,"Americus, GA",Sumter County
31719,West,"Americus, GA",Sumter County
31735,West,"Americus, GA",Sumter County
31764,West,"Americus, GA",Sumter County
31780,West,"Americus, GA",Sumter County
31810,West,,Talbot County
31812,West,,Talbot County
31827,West,,Talbot County
31836,West,,Talbot County
30631,East,,Taliaferro County
30664,East,,Taliaferro County
30420,Coastal,,Tattnall County
30421,Coastal,,Tattnall County
30427,Coastal,,Tattnall County
30438,Coastal,,Tattnall County
30453,Coastal,,Tattnall County
31006,West,,Taylor County
31039,West,,Taylor County
31058,West,,Taylor County
31076,West,,Taylor County
31081,West,,Taylor County
31037,Central,,Telfair County
31055,Central,,Telfair County
31060,Central,,Telfair County
31083,Central,,Telfair County
31544,Central,,Telfair County
31549,Central,,Telfair County
39826,South,"Albany, GA",Terrell County
39842,South,"Albany, GA",Terrell County
39877,South,"Albany, GA",Terrell County
39885,South,"Albany, GA",Terrell County
31626,South,"Thomasville, GA",Thomas County
31738,South,"Thomasville, GA",Thomas County
31757,South,"Thomasville, GA",Thomas County
31773,South,"Thomasville, GA",Thomas County
31792,South,"Thomasville, GA",Thomas County
32309,South,"Thomasville, GA",Thomas County
32312,South,"Thomasville, GA",Thomas County
32344,South,"Thomasville, GA",Thomas County
31775,South,"Tifton, GA",Tift County
31793,South,"Tifton, GA",Tift County
31794,South,"Tifton, GA",Tift County
30436,Central,"Vidalia, GA",Toombs County
30473,Central,"Vidalia, GA",Toombs County
30474,Central,"Vidalia, GA",Toombs County
30475,Central,"Vidalia, GA",Toombs County
28909,Northeast,,Towns County
30546,Northeast,,Towns County
30582,Northeast,,Towns County
30457,Central,,Treutlen County
30470,Central,,Treutlen County
30230,West,"LaGrange, GA",Troup County
30240,West,"LaGrange, GA",Troup County
30241,West,"LaGrange, GA",Troup County
36855,West,"LaGrange, GA",Troup County
36863,West,"LaGrange, GA",Troup County
31714,South,,Turner County
31783,South,,Turner County
31790,South,,Turner County
31020,Central,"Macon-Bibb County, GA",Twiggs County
31044,Central,"Macon-Bibb County, GA",Twiggs County
31217,Central,"Macon-Bibb County, GA",Twiggs County
28902,Northeast,,Union County
28906,Northwest,,Union County
30512,Northeast,,Union County
30572,Northeast,,Union County
30258,West,"Thomaston, GA",Upson County
30285,West,"Thomaston, GA",Upson County
30286,West,"Thomaston, GA",Upson County
31097,West,"Thomaston, GA",Upson County
30707,Northwest,"Chattanooga, TN-GA",Walker County
30725,Northwest,"Chattanooga, TN-GA",Walker County
30728,Northwest,"Chattanooga, TN-GA",Walker County
30739,Northwest,"Chattanooga, TN-GA",Walker County
30741,Northwest,"Chattanooga, TN-GA",Walker County
30750,Northwest,"Chattanooga, TN-GA",Walker County
37350,Northwest,"Chattanooga, TN-GA",Walker County
37404,Northwest,"Chattanooga, TN-GA",Walker County
37407,Northwest,"Chattanooga, TN-GA",Walker County
37410,Northwest,"Chattanooga, TN-GA",Walker County
30025,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
30052,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
30641,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
30655,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
30656,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County
31501,Coastal,"Waycross, GA",Ware County
31503,Coastal,"Waycross, GA",Ware County
31550,Coastal,"Waycross, GA",Ware County
31552,Coastal,"Waycross, GA",Ware County
30807,East,,Warren County
30821,East,,Warren County
30828,East,,Warren County
31018,East,,Washington County
31035,East,,Washington County
31067,East,,Washington County
31082,East,,Washington County
31089,East,,Washington County
31094,East,,Washington County
31545,Coastal,"Jesup, GA",Wayne County
31546,Coastal,"Jesup, GA",Wayne County
31555,Coastal,"Jesup, GA",Wayne County
31560,Coastal,"Jesup, GA",Wayne County
31824,West,,Webster County
31832,West,,Webster County
30411,Central,,Wheeler County
30428,Central,,Wheeler County
30528,Northeast,,White County
30545,Northeast,,White County
30571,Northeast,,White County
30710,Northwest,"Dalton, GA",Whitfield County
30720,Northwest,"Dalton, GA",Whitfield County
30721,Northwest,"Dalton, GA",Whitfield County
30740,Northwest,"Dalton, GA",Whitfield County
30756,Northwest,"Dalton, GA",Whitfield County
37311,Northwest,"Dalton, GA",Whitfield County
37323,Northwest,"Dalton, GA",Whitfield County
31001,Central,,Wilcox County
31072,Central,,Wilcox County
31079,Central,,Wilcox County
31084,Central,,Wilcox County
30660,East,,Wilkes County
30668,East,,Wilkes County
30673,East,,Wilkes County
31003,East,,Wilkinson County
31017,East,,Wilkinson County
31031,East,,Wilkinson County
31042,East,,Wilkinson County
31054,East,,Wilkinson County
31090,East,,Wilkinson County
31744,South,"Albany, GA",Worth County
31772,South,"Albany, GA",Worth County
31781,South,"Albany, GA",Worth County
31789,South,"Albany, GA",Worth County
31791,South,"Albany, GA",Worth County
31795,South,"Albany, GA",Worth County
31796,South,"Albany, GA",Worth County